tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
8364	Xenopus tropicalis	549147	0	live	rad51	brcc5-a, rad51-b, rad51a, reca, xrad51, rad51	RAD51 recombinase	DNA repair protein RAD51 homolog 1|RAD51 homolog (RecA homolog)		8	NC_030684.2	115027640	115036512	plus	12		
9606	Homo sapiens	5890	0	live	RAD51B	R51H2, RAD51L1, REC2	RAD51 paralog B	DNA repair protein RAD51 homolog 2|RAD51 homolog B|RecA-like protein|recombination repair protein	14q24.1	14	NC_000014.9	67819779	68683118	plus	19	602948	
4896	Schizosaccharomyces pombe	2543580	0	live	rhp51	SPAC644.14c, rad51	RecA family recombinase Rhp51	RecA family recombinase Rhp51		I	NC_003424.3	2698110	2700283	minus	1		
9606	Homo sapiens	22944	0	live	KIN	BTCD17, Rts2, KIN	Kin17 DNA and RNA binding protein	DNA/RNA-binding protein KIN17|KIN, antigenic determinant of recA protein homolog|binding to curved DNA	10p14	10	NC_000010.11	7750962	7787993	minus	14	601720	
4896	Schizosaccharomyces pombe	2542007	0	live	rhp57	SPAC20H4.07	RecA family ATPase Rhp57	RecA family ATPase Rhp57		I	NC_003424.3	2122490	2124506	plus	2		
4896	Schizosaccharomyces pombe	2543685	0	live	rhp55	SPAC3C7.03c	RecA family ATPase Rhp55	RecA family ATPase Rhp55		I	NC_003424.3	2066442	2067904	minus	2		
7955	Danio rerio	406487	0	live	rad51	wu:fb38e12, zgc:77754	RAD51 recombinase	DNA repair protein RAD51 homolog 1|RAD51 homolog (RecA homolog, E. coli)		20	NC_007131.7	46428020	46442006	plus	10		
10090	Mus musculus	16588	0	live	Kin	Kin17	Kin17 DNA and RNA binding protein	DNA/RNA-binding protein KIN17|KIN, antigenic determinant of recA protein homolog|antigenic determinant of rec-A protein|binding to curved DNA	2 A1	2	NC_000068.7	10080551	10092701	plus	5		
3702	Arabidopsis thaliana	844246	0	live	RECA1	AT1G79050, YUP8H12R.33, YUP8H12R_33, homolog of bacterial RecA	recA DNA recombination family protein	recA DNA recombination family protein		1	NC_003070.9	29736959	29740179	minus	13		
4896	Schizosaccharomyces pombe	2542106	0	live	dmc1	SPAC8E11.03c, dmp1	RecA family ATPase Dmc1	RecA family ATPase Dmc1		I	NC_003424.3	3382274	3383404	plus	2		
3702	Arabidopsis thaliana	816468	0	live	RECA2	AT2G19490, A. thaliana recA homolog 2, F3P11.9, F3P11_9	recA DNA recombination family protein	recA DNA recombination family protein		2	NC_003071.7	8441520	8444233	plus	8		
9031	Gallus gallus	396086	0	live	RAD51	RAD51A	RAD51 recombinase	DNA repair protein RAD51 homolog 1|RAD51 homolog (RecA homolog, E. coli)|homolog to S.cerevisiae		5	NC_006092.5	1172636	1180759	plus	11		
3702	Arabidopsis thaliana	820177	0	live	RECA3	AT3G10140, RECA homolog 3	RECA homolog 3	RECA homolog 3		3	NC_003074.8	3134873	3137417	plus	8		
3847	Glycine max	100777423	0	live	LOC100777423	GLYMA_19G134900	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		19	NC_038255.1	39588495	39594677	minus	8		
112090	Aphanomyces astaci	20809325	0	live	H257_07329	H257_07329	protein RecA	protein RecA, variant 1|protein RecA, variant 2|protein RecA, variant 3		Unknown							
761204	Phytophthora parasitica INRA-310	20181846	0	live	PPTG_12383	PPTG_12383	protein RecA	protein RecA, variant		Unknown							
3694	Populus trichocarpa	7497607	0	live	LOC7497607	POPTR_006G148700v3	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		6	NC_037290.1	12789457	12796754	plus	9		
4442	Camellia sinensis	114291994	0	live	LOC114291994		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
3981	Hevea brasiliensis	110642435	0	live	LOC110642435		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Un							
4182	Sesamum indicum	105175053	0	live	LOC105175053		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		LG12	NC_026156.1	1936808	1941466	minus	14		
130454	Arachis ipaensis	107645515	0	live	LOC107645515		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		B06	NC_029790.2	5275195	5278941	plus	8		
130453	Arachis duranensis	107484341	0	live	LOC107484341		protein RecA	uncharacterized protein LOC107484341		A04	NC_029775.2	55487530	55491493	minus	6		
130453	Arachis duranensis	107478430	0	live	LOC107478430		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		A03	NC_029774.2	27633275	27644986	plus	16		
90675	Camelina sativa	104747883	0	live	LOC104747883		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		15	NC_025699.1	29871164	29873801	plus	8		
90675	Camelina sativa	104701421	0	live	LOC104701421		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		1	NC_025685.1	22246139	22248868	plus	8		
207710	Prosopis alba	114724496	0	live	LOC114724496		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
3848	Glycine soja	114399065	0	live	LOC114399065	D0Y65_051386	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial|DNA repair protein recA-like 2, mitochondrial		19	NC_041020.1	39475922	39482061	minus	8		
3917	Vigna unguiculata	114173390	0	live	LOC114173390		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		1	NC_040279.1	28497849	28503698	minus	8		
3469	Papaver somniferum	113308059	0	live	LOC113308059	C5167_001767	DNA repair protein recA homolog 2, mitochondrial-like	DNA repair protein recA homolog 2, mitochondrial-like		9	NC_039366.1	85042544	85049746	minus	8		
3818	Arachis hypogaea	112756517	0	live	LOC112756517		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Arahy.16	NC_037633.1	8570421	8574069	plus	8		
3818	Arachis hypogaea	112695989	0	live	LOC112695989		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Arahy.06	NC_037623.1	11102494	11106129	minus	8		
74649	Rosa chinensis	112191654	0	live	LOC112191654	RchiOBHm_Chr3g0483971	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial|putative ATP diphosphatase		3	NC_037090.1	30350031	30355801	plus	7		
3662	Cucurbita moschata	111435486	0	live	LOC111435486		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
158386	Olea europaea var. sylvestris	111374067	0	live	LOC111374067		DNA repair protein recA homolog 2, mitochondrial-like	DNA repair protein recA homolog 2, mitochondrial-like		Un							
66656	Durio zibethinus	111276047	0	live	LOC111276047		DNA repair protein recA homolog 1, chloroplastic-like	DNA repair protein recA homolog 1, chloroplastic-like		Un							
3673	Momordica charantia	111021929	0	live	LOC111021929		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
3673	Momordica charantia	111021317	0	live	LOC111021317		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
4232	Helianthus annuus	110885374	0	live	LOC110885374	HannXRQ_Chr10g0298191, RECA3	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial|putative RECA-like protein		10	NC_035442.1	136661456	136666676	minus	8		
63459	Chenopodium quinoa	110707356	0	live	LOC110707356		DNA repair protein recA homolog 2, mitochondrial-like	DNA repair protein recA homolog 2, mitochondrial-like		Un							
3983	Manihot esculenta	110623532	0	live	LOC110623532	MANES_09G011100	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		LG9	NC_035169.1	2002643	2016993	plus	8		
108875	Herrania umbratica	110428600	0	live	LOC110428600		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
81972	Arabidopsis lyrata subsp. lyrata	110230026	0	live	LOC110230026		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
906689	Dendrobium catenatum	110102251	0	live	LOC110102251		DNA repair protein recA homolog 2, mitochondrial-like	DNA repair protein recA homolog 2, mitochondrial-like		Un							
4686	Asparagus officinalis	109842685	0	live	LOC109842685	A4U43_C05F870	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		5	NC_033798.1	1716231	1723495	plus	9		
29729	Gossypium arboreum	108464317	0	live	LOC108464317		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		13	NC_030676.1	83036963	83043515	minus	15		
4097	Nicotiana tabacum	107816977	0	live	LOC107816977		DNA repair protein recA homolog 1, chloroplastic-like	DNA repair protein recA homolog 1, chloroplastic-like		Un							
4097	Nicotiana tabacum	107810192	0	live	LOC107810192		DNA repair protein recA homolog 1, chloroplastic-like	DNA repair protein recA homolog 1, chloroplastic-like		Un							
326968	Ziziphus jujuba	107431635	0	live	LOC107431635		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		12	NC_029690.1	1350064	1354728	minus	8		
4155	Erythranthe guttata	105968784	0	live	LOC105968784	MIMGU_mgv1a007002mg	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
29730	Gossypium raimondii	105772915	0	live	LOC105772915	B456_010G084000	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		10	NC_026938.1	12470933	12475319	minus	10		
75702	Populus euphratica	105136012	0	live	LOC105136012		DNA repair protein recA homolog 2, mitochondrial-like	DNA repair protein recA homolog 2, mitochondrial-like		Un							
75702	Populus euphratica	105111144	0	live	LOC105111144		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
51953	Elaeis guineensis	105057675	0	live	LOC105057675		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		14	NC_026006.1	11626657	11641881	plus	8		
51953	Elaeis guineensis	105032022	0	live	LOC105032022		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
28532	Tarenaya hassleriana	104814625	0	live	LOC104814625		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
90675	Camelina sativa	104767156	0	live	LOC104767156		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		19	NC_025703.1	25407046	25409684	plus	8		
4096	Nicotiana sylvestris	104224573	0	live	LOC104224573		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
4098	Nicotiana tomentosiformis	104120078	0	live	LOC104120078		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
4641	Musa acuminata	103975661	0	live	LOC103975661		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		2	NC_025203.1	15342939	15350778	minus	14		
3656	Cucumis melo	103487647	0	live	LOC103487647		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
2711	Citrus sinensis	102626696	0	live	LOC102626696		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		5	NC_023050.1	13685260	13691906	minus	13		
4555	Setaria italica	101764834	0	live	LOC101764834	SETIT_022303mg	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		III	NC_028452.1	11082192	11086847	minus	9		
4555	Setaria italica	101758816	0	live	LOC101758816		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		V	NC_028454.1	46082666	46086398	minus	8		
3827	Cicer arietinum	101494938	0	live	LOC101494938		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Ca7	NC_021166.1	2911110	2922902	minus	11		
57918	Fragaria vesca	101298651	0	live	LOC101298651		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		LG1	NC_020491.1	21286492	21295938	minus	14		
3659	Cucumis sativus	101216994	0	live	LOC101216994	Csa_3G524580	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		2	NC_026656.2	16365237	16370332	plus	13		
15368	Brachypodium distachyon	100830620	0	live	LOC100830620	BRADI_2g52650	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		2	NC_016132.3	51738300	51741540	plus	7		
981085	Morus notabilis	21399607	0	live	LOC21399607	L484_016564	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial|DNA repair protein recA-2-like protein		Un							
3694	Populus trichocarpa	18107678	0	live	LOC18107678	POPTR_018G067900v3	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		18	NC_037302.1	8637756	8646805	plus	8		
85681	Citrus clementina	18046169	0	live	LOC18046169	CICLE_v10020181mg	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
85681	Citrus clementina	18031491	0	live	LOC18031491	CICLE_v10005129mg	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
3988	Ricinus communis	8266283	0	live	LOC8266283	RCOM_0565220	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
3694	Populus trichocarpa	7484023	0	live	LOC7484023	POPTR_016G057700v3	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		16	NC_037300.1	3871647	3876602	minus	8		
3694	Populus trichocarpa	7473604	0	live	LOC7473604	POPTR_006G048000v3	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		6	NC_037290.1	3428261	3434055	plus	9		
3659	Cucumis sativus	101206290	0	live	LOC101206290	Csa_4G338990	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		4	NC_026658.2	16890763	16904103	plus	8		
4577	Zea mays	100282426	0	live	LOC100282426	ZEAMMB73_Zm00001d033259, GRMZM2G016602	protein recA	protein recA|DNA repair protein recA homolog 1 chloroplastic|putative recA DNA recombination family protein		1	NC_024459.2	256315063	256326369	minus	14		
3818	Arachis hypogaea	112697353	0	live	LOC112697353		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Arahy.06	NC_037623.1	105976575	105979729	plus	5		
3848	Glycine soja	114387848	0	live	LOC114387848	D0Y65_041600	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic|DNA repair protein recA-like 1, chloroplastic		15	NC_041016.1	33351837	33374151	minus	13		
157791	Vigna radiata	106766917	0	live	LOC106766917		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		7	NC_028357.1	46054780	46061928	minus	9		
3708	Brassica napus	106382431	0	live	LOC106382431		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial|BnaC07g01720D		Un							
3708	Brassica napus	106368917	0	live	LOC106368917		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		C8	NC_027774.2	39037021	39039272	minus	7		
3712	Brassica oleracea	106303647	0	live	LOC106303647		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		C7	NC_027754.1	1842158	1844459	minus	8		
75702	Populus euphratica	105114869	0	live	LOC105114869		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
51953	Elaeis guineensis	105033965	0	live	LOC105033965		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
4641	Musa acuminata	103979375	0	live	LOC103979375		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		3	NC_025204.1	20703666	20719477	minus	9		
3711	Brassica rapa	103849257	0	live	LOC103849257		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		A7	NC_024801.2	978302	981589	minus	8		
2711	Citrus sinensis	102614724	0	live	LOC102614724		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		4	NC_023049.1	12679799	12685033	minus	8		
4113	Solanum tuberosum	102594430	0	live	LOC102594430		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Un							
72664	Eutrema salsugineum	18023896	0	live	LOC18023896	EUTSA_v10020901mg	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
7955	Danio rerio	553953	0	live	dmc1	zgc:136628	DNA meiotic recombinase 1	meiotic recombination protein DMC1/LIM15 homolog|DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination|RecA homolog Dmc1|disrupted meiotic cDNA 1		12	NC_007123.7	19356683	19362190	plus	14		
280699	Cyanidioschyzon merolae strain 10D	16994414	0	live	CYME_CMK061C	CYME_CMK061C	DNA repair and recombination protein RecA, chloroplast precursor			11	NC_010137.1	178993	180258	minus	1		
130081	Galdieria sulphuraria	17087064	0	live	Gasu_43690	Gasu_43690	recombination protein RecA			Unknown							
695850	Saprolegnia parasitica CBS 223.65	24134452	0	live	SPRG_12500	SPRG_12500	RecA protein			Unknown							
695850	Saprolegnia parasitica CBS 223.65	24134300	0	live	SPRG_12334	SPRG_12334	RecA protein			Unknown							
39947	Oryza sativa Japonica Group	4325041	0	live	LOC4325041	OSNPB_010901200, B1065G12.7, P0551C06.5	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial|Os01g0901200|P0035F12.24|putative recA protein		1	NC_029256.1	39238851	39243981	minus	8		
3847	Glycine max	100788534	0	live	LOC100788534	GLYMA_15G211400	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		15	NC_038251.1	32648338	32666123	minus	13		
461836	Thecamonas trahens ATCC 50062	25569187	0	live	AMSG_11134	AMSG_11134	RecA protein			Unknown							
157072	Aphanomyces invadans	20084587	0	live	H310_07537	H310_07537	protein RecA			Unknown							
1156394	Saprolegnia diclina VS20	19954155	0	live	SDRG_13428	SDRG_13428	RecA protein			Unknown							
403677	Phytophthora infestans T30-4	9465586	0	live	PITG_10832	PITG_10832	protein recA										
4577	Zea mays	100276540	0	live	LOC100276540	ZEAMMB73_Zm00001d042137, GRMZM2G363801, TIDP3078	uncharacterized LOC100276540	uncharacterized protein LOC100276540|DNA repair protein recA homolog 2 mitochondrial|putative recA DNA recombination family protein		3	NC_024461.2	153103959	153108253	plus	8		
90675	Camelina sativa	104759758	0	live	LOC104759758		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		1	NC_025685.1	3914605	3917122	plus	8		
3818	Arachis hypogaea	112790085	0	live	LOC112790085		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Arahy.03	NC_037620.1	29842279	29854085	plus	15		
74649	Rosa chinensis	112187969	0	live	LOC112187969	RchiOBHm_Chr2g0093621	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial|putative ATP diphosphatase		2	NC_037089.1	6859712	6863187	minus	8		
3562	Spinacia oleracea	110779539	0	live	LOC110779539		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Un							
42229	Prunus avium	110749288	0	live	LOC110749288		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Un							
3914	Vigna angularis	108322682	0	live	LOC108322682	LR48_Vigan728s004700	DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
326968	Ziziphus jujuba	107423319	0	live	LOC107423319		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		7	NC_029685.1	23873994	23880326	minus	13		
157791	Vigna radiata	106752533	0	live	LOC106752533		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
3555	Beta vulgaris subsp. vulgaris	104907597	0	live	LOC104907597	BVRB_4g096030	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		4							
28532	Tarenaya hassleriana	104826946	0	live	LOC104826946		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
4432	Nelumbo nucifera	104606253	0	live	LOC104606253		DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		Un							
42345	Phoenix dactylifera	103696257	0	live	LOC103696257		DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		Un							
3656	Cucumis melo	103498552	0	live	LOC103498552		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		Un							
3750	Malus domestica	103426249	0	live	LOC103426249		DNA repair protein recA homolog 1, chloroplastic-like	DNA repair protein recA homolog 1, chloroplastic-like		17	NC_041805.1	33230162	33239766	plus	6		
3750	Malus domestica	103418069	0	live	LOC103418069		DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like		2	NC_041790.1	6417571	6421688	minus	8		
3750	Malus domestica	103400817	0	live	LOC103400817		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		15	NC_041803.1	16781419	16785322	minus	8		
102107	Prunus mume	103340698	0	live	LOC103340698		DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		LG8	NC_024133.1	13990828	13994256	minus	8		
3760	Prunus persica	18771384	0	live	LOC18771384	PRUPE_7G207400	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		G7	NC_034015.1	19076370	19080031	plus	8		
81985	Capsella rubella	17892133	0	live	LOC17892133	CARUB_v10015533mg	DNA repair protein recA homolog 3, mitochondrial	DNA repair protein recA homolog 3, mitochondrial		Un							
3880	Medicago truncatula	11415363	0	live	LOC11415363	MTR_7g090880	DNA repair protein recA homolog 2, mitochondrial	DNA repair protein recA homolog 2, mitochondrial		7	NC_016413.2	35802626	35807590	minus	8		
483514	Schizosaccharomyces octosporus yFS286	25033337	0	live	SOCG_04373	SOCG_04373	RecA family ATPase Rhp57			Unknown							
39947	Oryza sativa Japonica Group	4333537	0	live	LOC4333537	OSNPB_030639700	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic|Os03g0639700		3	NC_029258.1	24591376	24596460	plus	13		
15368	Brachypodium distachyon	100841100	0	live	LOC100841100	BRADI_1g13960	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		1	NC_016131.3	10814775	10822222	minus	13		
29760	Vitis vinifera	100249133	0	live	LOC100249133	VIT_00020482001	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic		19	NC_012025.3	18712397	18722948	minus	13		
45607	[Candida] sorbophila	36518228	0	live	B9G98_04480	B9G98_04480	Protein RecA	Protein RecA		Unknown							
12968	Blastocystis hominis	24920088	0	live	GSBLH_T00002960001	GSBLH_T00002960001	Recombinase A protein (RecA)										
